Link,School,School Rank,price,Bedrooms,Bathrooms,Car Spaces,type,availability,address,suburb,inspection_date,inspection_time_start,inspection_time_end,description para,Agent_Name,Agent_Phone,Agent_Email,Price Category,
https://www.realestate.com.au/420038506,Burwood East Primary School,1,$480 per week,2,2,1,Apartment,Sat 05-Jan-19,304/213 Burwood Hwy,Burwood East,Wed 19 Dec,5:50PM , 6:05PM,"
Inspection by appointment only from 22/12/18 to 01/01/19, please call 9670 0566 to arrange a private inspection.
- Open plan living and dining areas
- Upgraded!  Modern kitchen with stainless steel European appliances- 90cm Fisher & Paykel gas cook top, Oven and rangehood.
- UpgradedTimer-floor throught-out whole apartment
- All rooms with windows and built in robes
- Big balcony to fit BBQ stove and furniture
- Separate laundry 
- Secure basement parking space & storage cage
- Less than 100 metres from the iconic Burwood One
- Located opposite huge shopping Complex, gym, cafes & shops ( 24 hr K-mart and Coles)
- mins away from Deakin University, tram passes
- Bus route 735, 732 direct service to Box Hill 
- Bus route 703 direct to Monash Clayton (approx. 25mins)
- Tram route 75 at doorstep
- approx. 20 km away from CBD
*************************************************************
To ensure fastest response, application can be submitted in prior to open inspection through 1Form online (simply click ""Apply online"" under the agent's contact in this page) or via Tradition application form, which is available
...
show more",Janice Lam,0433 170 231,jl%40apgproperty.com.au,Rentals Available 350_480,
https://www.realestate.com.au/425298718,Burwood East Primary School,1,$430 p.w.,3,1,1,House,Available Now,1 Baker Court,Burwood East, , to arrange an appointment., to arrange an appointment.,"
Featuring polished floorboards throughout this family home in great location, walking distance to Burwood, public transport and local schools.
Inside find three spacious bedrooms, central bathroom, spacious living area and large kitchen with even larger dining area. Low maintenance yard for the kids and garden shed. This is not to be missed!!!
**photo ID required for all inspections**
**open times are subject to change without notice, register your interest to stay informed**
**please ensure you confirm your attendance for inspections otherwise the inspection may not go ahead**",Tammy Tate,0409 394 464,leasingjuddwhite%40harcourts.com.au,Rentals Available 350_480,
https://www.realestate.com.au/425375374,Burwood East Primary School,1,$400 per week,3,1,1,House,Fri 04-Jan-19,8 Baker Court,Burwood East, , to arrange an appointment., to arrange an appointment.,"
Kitchen Photo- Please note the cupboards have been updated**
 
This neat family home is situated in a quiet court location. Comprising entry hall, large L-shaped lounge/dining, modern kitchen/meals with gas/electric cooking and sunny eating area, 3 good sized bedrooms with birs, family bathroom with bath, shower & vanity,sep wc, laundry with 2nd shower, enclosed rear yard with patio, garden sheds & single carport. Features include gas ducted heating & polished floorboards throughout. This property is ideally located to East Burwood Primary School, K-Mart Shopping Centre & Burwood Highway tram.
 
To register for inspection, please contact the agent via the link below. Once inspections are listed online you will be notified via emial.",Ava Hinds,0438 524 129,ava.hinds%40noeljones.com.au,Rentals Available 350_480,
https://www.realestate.com.au/425313330,Burwood East Primary School,1,$450 per week,3,1,2,House,Available Now,22 Barry Road,Burwood East, , to arrange an appointment., to arrange an appointment.,"
Three Bedroom Brick Veneer house ffor rent. Close to Burwood One and Forest Hill Chase Shopping Centers. Close to schools and public transport, next to social amenities and social clubs.",For Sale For Lease,1300 622 300,propertyenquiries%40forsaleforlease.com.au,Rentals Available 350_480,
https://www.realestate.com.au/425091142,Burwood East Primary School,1,$450 per week,3,2,2,House,Available Now,6 Melba Court,Burwood East, , to arrange an appointment., to arrange an appointment.,"
If you are looking for a quiet ideally located family home within walking distance to trams, shops, schools and all other amenities then look no further than this lovingly maintained family home in a quiet court location. The home has been recently repainted throughout with new carpet to bedroom areas.
We highly recommend registering for an open for inspection. If the registered time is not suitable please click Book an Inspection or Contact Agent. Registering for an inspection will allow us to notify you by sms of any changes to open times and available dates as these are subject to change without notice. Photo identification is required at all inspections. 
- Spacious entry with plenty of storage.
- Large open plan lounge and dining area with ceiling fans.
- Well maintained kitchen with a ceiling fan and air conditioning unit.
- Carpeted master bedroom offering an air conditioning unit.
- Master bedroom with a built in robe and ensuite.
- Two additional bedrooms with built in robes.
- A separate toilet and spacious laundry.
- Weatherproof verandah ideal for entertaining or relaxing.
- Gas ducted heating.
- Polished timber
...
show more",Ashleigh King,03 8877 0888,mcgrathblackburn%40mail.inspectrealestate.com.au,Rentals Available 350_480,
https://www.realestate.com.au/424791702,Burwood East Primary School,1,$395P/W,3,1,2,House,Available Now,7 Crow Street,Burwood East, , to arrange an appointment., to arrange an appointment.,"
Close to parks, schools, Deakin University, shopping centre, shops on Burwood Hwy and 75 tram just on the door step.  It comprises of 3 bedrooms, kitchen with meals, central bathroom and large backyard.
Open time: To be advised
PHOTO ID REQUIRED AT ALL INSPECTIONS. 
PLEASE NOTE:  Open for Inspection Times and Property Availability is subject to change or cancellation without notice.",Whitehorse Bigginscott,03 9898 8277,bswhitehorse%40mail.inspectrealestate.com.au,Rentals Available 350_480,
https://www.realestate.com.au/411383575,Beverley Hills Primary School,3,$390 per week,3,1,2,House,Fri 04-Jan-19,34 Devon Drive,Doncaster East,Fri 21 Dec,2:00PM , 2:15PM,"
Only a stones throw away from Devon Plaza and in a prime position, you will find this fabulous affordable home. Every room is drenched with natural sunlight and is generously proportioned. Comprising three bedrooms (two with built in robes), the master also features a split system and there is a portable heater provided for the 3rd bedroom. All 3 bedrooms are serviced by a well presented, light and bright bathroom with separate bath & shower.There is a good sized lounge which includes a split system and a gas space heater. A well appointed kitchen complete with gas cooking and meals area has also been fitted with brand new flooring which flows throuygh to the large laundry. Also included in this gem is a separate sunroom, a single lock up garage with workshop space and a great sized rear yard for the kids to play. Only minutes from public transport, Eastlink and Westfield Shoppingtown.
Unfortunately the property is not suitable for pets.
TO RECEIVE AN SMS OR EMAIL OF THE NEXT OPEN TIME AT NO COST, LOG ON TO WWW.PHILIPWEBB.COM.AU, SEARCH FOR YOUR NEXT RENTAL PROPERTY & REGISTER YOUR DETAILS, IT'S FREE!! Photo ID may be requested at this inspection prior to entry.",Michelle Jansen,437695848,mjansen%40philipwebb.com.au,Rentals Available 350_480,
https://www.realestate.com.au/425309822,Beverley Hills Primary School,3,-1,3,1,1,House,Available Now,1/24 Renshaw Street,Doncaster East, , to arrange an appointment., to arrange an appointment.,"
Double School Zone!
 Within the the Highly Sought-After Beverley Hills Primary School & Doncaster Secondary College(STSA) 
 With a street front position on a block of only 2 and north facing front yard 
 3 robed bedrooms including two of them facing north plus a family bathroom & separate toilet; 
 Spacious open plan formal lounge room, dining and well equipped kitchen with stainless steel appliances including dishwasher, oven, rangehood & gas cooktop;
 Gas ducted heating, evaporative cooling and air conditioning, timber style floorboards provides the ultimate in comfort, all year round for the whole home
 Low maintenance outdoor courtyard perfect for entertaining or children or pets play around
 Single carport + extra parking spaces, lots of off street parking for visitors 
 All these conveniently located within close proximity to desired amenities and facilities
Be inspired by the welcoming ambience created in this uniquely designed single level unit, one of only two on the block. Walk through the perfectly manicured gardens to be greeted by a beautiful north facing home. 
Featuring
...
show more",Jerry Zhu,401753099,jerryzhu%40oneagency.com.au,Rentals Available 350_480,
https://www.realestate.com.au/425297338,Beverley Hills Primary School,3,$380 per week,2,1,1,Unit,Available Now,5/30 Thomas Street,Doncaster East, , to arrange an appointment., to arrange an appointment.,"
This well maintained 2 bedroom brick veneer unit is in the popular area of Doncaster East. Easy access to the Eastern freeway, buses, schools, parklands and shopping centres and cafes. Close to all amenities it will suit those looking for a low maintenance lifestyle.
We highly recommend registering for an open for inspection. If the registered time is not suitable please click Book an Inspection or Contact Agent. Registering for an inspection will allow us to notify you by sms of any changes to open times and available dates as these are subject to change without notice. Photo identification is required at all inspections. 
- Entry, lounge and dining offers an air conditioner and ceiling fan.
- Cathedral ceilings to the living area.
- Two bedrooms with built in robes.
- Well equipped kitchen and separate laundry.
- Main central bathroom with bath, shower and vanity.
- Gas ducted heating for winter comfort.
- A large sunny rear courtyard.
- Single lock up garage with a remote.",Ashleigh King,03 8877 0888,mcgrathblackburn%40mail.inspectrealestate.com.au,Rentals Available 350_480,
https://www.realestate.com.au/425285370,Beverley Hills Primary School,3,$430 per week,3,1,1,House,Available Now,96 Blackburn Road,Doncaster East, , to arrange an appointment., to arrange an appointment.,"
Located in a superb suburb with walking distance to shopping  town, this renovated residence offers three good-sized bedrooms (one of them has built-in wardrobe) and a study/sunroom (or 4th bedroom. 
Open and large living and dining area, brand new kitchen comes with stainless steel appliances and ample storage. Separate toilet and laundry room. Living area includes gas heater and air conditioner. Single carport and easy-to-maintain front yard. 
Great location with walking distance to Tunstall Square shopping town where offers a variety of cafes, restaurants, shops and supermarket. Close to well-regarded schools, such as Beverley Hills Primary School and East Doncaster Secondary College. Easy access to Eastern Freeway.",Fion Lau,0402 929 770,fion%40ascendre.com.au,Rentals Available 350_480,
