Link,School,School Rank,price,Bedrooms,Bathrooms,Car Spaces,type,availability,address,suburb,inspection_date,inspection_time_start,inspection_time_end,description para,Agent_Name,Agent_Phone,Agent_Email,Price Category,
https://www.realestate.com.au/425122038,Canterbury Primary School,12,https://www.realestate.com.au/425122038,$400pw/$1738pcm,2,1,Apartment,Available Now,4/157  Highfield Road,Camberwell, , to arrange an appointment., to arrange an appointment.,"
**TO REGISTER FOR AN INSPECTION, SIMPLY CLICK ON BOOK INSPECTION OR EMAIL AGENT **
This secure, private and well-presented two bedroom apartment offers an abundance of natural light and leafy tree top views.
Comprising of:
- Entrance building via quiet Amelia Street
- One of only four apartments to share the security entrance
- Light-filled, open plan living and dining zone with access to private under-cover balcony 
- Neat, separate kitchen to include: upright gas stove, an abundance of cupboard storage and meals area 
- Master double bedroom with built-in robes
- Second bedroom with built-in robes
- Well maintained central bathroom to include: shower over bath, vanity, toilet and laundry facilities 
- Private balcony 
Also, featuring:
- Large, storage room 
- 'Off street' parking
- Water usage is included in the weekly rent
This very appealing, well presented and maintained apartment is within walking distance to: local cafes, shops and restaurants, St Dominic's Primary School, Highfield and Lynden Parks, Hartwell train station and Riversdale Road tram routes.
Please note: Sorry, No Pets.
...
show more",Daniel Lippis,0398886630,leasing.ire.canterbury%40fletchers.net.au,Rentals Available 350_480,1
https://www.realestate.com.au/425145766,Canterbury Primary School,12,https://www.realestate.com.au/425145766,$370 per week,2,1,Unit,Sat 29-Dec-18,2/2 Middlesex Road,Surrey Hills, , to arrange an appointment., to arrange an appointment.,"
Great two bedroom unit situated in an ideal location; walk to train station, shops and schools. Comprising
 * 2 bedrooms with builtin robes
 * Galley style kitchen with plenty of cupboards
 * Electric cooking
 * Bathroom includes shower and bath
 * Separate toilet
 * Plus a separate laundry
 * Enclosed private courtyard
 * Single lock up garage
 PHOTO ID REQUIRED AT ALL INSPECTIONS 
 PLEASE NOTE: Open for Inspection Times and Property Availability is subject to change or cancellation without notice. Melway Ref 46F11.",Ian Smith,0423 020 892,ian.smith%40noeljones.com.au,Rentals Available 350_480,1
https://www.realestate.com.au/425288782,Canterbury Primary School,12,https://www.realestate.com.au/425288782,$415 per week,2,1,Unit,Fri 28-Dec-18,4/20 Margaret Street,Canterbury,Wed 2 Jan,4:45PM , 5:00PM,"
Situated at the rear of this well maintained group and enjoying a leafy outlook, this lovely 2 bedroom villa unit offers so much. Huge living/dining room with polished floor boards and ducted heating, both bedrooms are large with BIR's, kitchen/meals area, central bathroom and separate laundry. All in walking distance to Maling Road shops and transport.
*To register to inspect please click Virtual Tour or Book Inspection so we can keep you informed of inspection times and changes.
*Photo ID may be required at open for inspections.",Tom Macrae,03 9818 6081,enquiries-hawthorn%40jelliscraig.com.au,Rentals Available 350_480,1
https://www.realestate.com.au/425437226,Canterbury Primary School,12,https://www.realestate.com.au/425437226,"$350pw/$1,520pcm",1,1,Apartment,Available Now,1/24 Dudley Parade,Canterbury, , to arrange an appointment., to arrange an appointment.,"
**TO REGISTER FOR AN INSPECTION, SIMPLY CLICK ON BOOK INSPECTION OR EMAIL AGENT **
This attractive, spacious and immaculate 'fully furnished' one bedroom downstairs' apartment is perfectly suited to the single university student or professional - Utility Bills Included (phone excluded)
Comprising of:
- Attractive, secure and separate entrance
- Spacious open plan living and dining zone
- Master bedroom 
- Attractive and well-equipped kitchen to include: tile splashback, stainless steel oven, refrigerator, dishwasher, microwave, front loader washing machine and ample cupboard storage
- Neat and modern bathroom to include: separate shower, vanity and toilet
Also, featuring:
- Spilt system to the open plan living and dining zone
- Partially/fully furnished residence
- Utility Bills Included (phone excluded)
Perfectly positioned in this highly desirable and leafy Canterbury locale with minutes' walk to: Maling Road cafes, shops and restaurant, Canterbury Gardens and Boroondara Park, Canterbury and East Camberwell Railway stations and Canterbury Road bus routes.
The first to inspect will want to call
...
show more",Daniel Lippis,0398886630,leasing.ire.canterbury%40fletchers.net.au,Rentals Available 350_480,1
https://www.realestate.com.au/421306954,Wattle Park Primary School,14,https://www.realestate.com.au/421306954,$440 Incl Water Bill,2,1,Unit,Available Now,2/208 Warrigal Road,Camberwell, , to arrange an appointment., to arrange an appointment.,"
This spotless unit located in the highly sought after suburb of Camberwell showcases 2 large bedrooms with built in robes and plenty of natural light, sharing 1 tiled bathroom, separate toilet and laundry. The well-lit kitchen is equipped with a gas cooktop and oven and dining area. Next to the kitchen is the lounge room with wall air-conditioning. The home also presents floorboards throughout, huge storage cupboard, security front door gate, single lock-up garage, and low maintenance private backyard. 
Located only a short stroll from Wattle Park Primary School, Toorak Road shops and Burwood Highway tram 75 for a short commute to PLC, Deakin University and Burwood One Shopping Centre. You will also have easy access to buses 766 and 903 to take you to Box Hill Shopping Centre or Holmesglen Tafe. Gardiners Creek walking and riding trail is nearby and Chadstone Shopping Centre is only 5 km's away.
Features:
- Lock-up garage
- Air conditioner
- Floorboards throughout
- Gas cook-top and oven
- Storage cupboard
- Brand new bathroom lighting
Photo ID required at all open for inspections.
- To be advised of our next available inspection
...
show more",Velia Perri,0439 007 366,burwood.leasing%40raywhite.com,Rentals Available 350_480,1
https://www.realestate.com.au/425305166,Wattle Park Primary School,14,https://www.realestate.com.au/425305166,$470 per week,3,2,House,Sat 12-Jan-19,42 Mcintyre Street,Burwood, , to arrange an appointment., to arrange an appointment.,"
Within walking distance to Deakin University, bus and tram stops this home is ideally located.
Feauturing 3 bedrooms (all with BIR's) large master bedroom with semi ensuite, central bathroom with large bath. Kitchen with gas cooking and separate meals area. Lounge room with open fire place. Good sized front yard and double garage.
For a full list of our LARGE SELECTION of properties, visit our website at www.cnre.com.au
We are your local JENMAN APPROVED office.
Call NOW on (03) 9831 9831 on our 24 hour line.
Property Code: 1459",Cooper Newman,03 9831 9831,reception%40cnre.com.au,Rentals Available 350_480,1
https://www.realestate.com.au/425281734,Wattle Park Primary School,14,https://www.realestate.com.au/425281734,$380 per week,1,1,Apartment,Fri 28-Dec-18,5/972 Riversdale Road,Surrey Hills,Thu 27 Dec,1:30PM , 1:45PM,"
This near new apartment is located in a small boutique block of only 8 and is located at the rear of the block on the ground floor. The property comprises the following:
 
- Light filled and offering a large living space opening onto a private balcony a
 - Adjoining a modern fully equipped kitchen with gas cooking and dishwasher
 - Large bedroom with full length wardrobes
 - Central bathroom and euro style laundry
 - Secure entry
 - Split system heating/cooling
 - Secure garage for 1 car. 
 
PHOTO ID REQUIRED AT ALL INSPECTIONS 
 PLEASE NOTE: Open for Inspection Times and Property Availability is subject to change or cancellation without notice.",Candice Ayton,03 9830 1644,inspections.ire.balwyn%40noeljones.com.au+,Rentals Available 350_480,2
https://www.realestate.com.au/425413802,Wattle Park Primary School,14,https://www.realestate.com.au/425413802,$475 per week,3,1,2,Unit,Available Now,27/31 McIntyre Street,Burwood, , to arrange an appointment., to arrange an appointment.,"
Warm and welcoming, this immaculately presented, free standing single level family home offers affordable, quality living in a most convenient location.
Impeccably maintained, the property features:
* Spacious lounge room with polished floorboards, split system heating/cooling unit and additional gas heater 
* Well-appointed kitchen with gas cooking
* Adjoining dining/meals area with polished floorboards and additional split system heating/cooling unit 
* 3 generous bedrooms - master with walk in robe and direct access to ensuite style central bathroom (with both bath and separate shower), further 2 bedrooms also with built in robes 
* Separate toilet and huge separate laundry 
Complete with fabulous outdoor decking - perfect for entertaining/alfresco dining and double remote lock up garage with access to courtyard. 
Set privately towards the rear of a secure and beautifully maintained garden village, the house is ideally positioned within walking distance of Deakin University and PLC and just moments from Burwood Highway trams, Gardiners Creek Reserve parklands and walking tracks and Toorak Rd/Burwood Highway shops and cafs!",Jess Hart,0403 171 787,inspectrealestate%40rosshunt.com.au,1
https://www.realestate.com.au/425442098,Balwyn Primary School,16,Amy Mayes,1,,Rentals Available 350_480,"
This one bedroom apartment in the heart of Balwyn is walking distance to everything you need from public transport, cafes and restaurants. Special features include: stone bench tops, stainless steel appliances including a dishwasher, bedroom with built-in robes, open plan dining/living area, reverse cycle air-conditioning and European laundry. Other features include; private balcony, secure basement car park, storage cage, outdoor communal building space with seating and BBQs for entertaining.   Please note that we do not accept 1Form applications. You may apply for the property via our website:",,$355 per week,1,Balwyn,https://www.realestate.com.au/425442098,1300 141 888,106/182  Whitehorse Road,,Other,Available Now,,1
https://www.realestate.com.au/425348034,Balwyn Primary School,16,Alex Noutsos,1,,Rentals Available 350_480,"
ARRANGE AN INSPECTION NOW! TO BOOK A TIME TO INSPECT, SIMPLY CLICK ON BOOK AN INSPECTION OR EMAIL AGENT. BY REGISTERING, YOU WILL BE INSTANTLY INFORMED OF ANY UPDATES, DELAYS, CHANGES OR CANCELLATIONS FOR YOUR APPOINTMENT.
Surrounded by luscious planted terraces, courtyards and common areas and located in one of Melbourne's greenest suburbs - Botanica Balwyn is the place to be.
This exceptionally spacious and light filled 1 bedroom apartment is the latest addition to this blue-chip suburb and showcase:
Open-plan marble/Miele kitchen with built in marble bench overlooking a substantial meals/living zone
1 spacious bedroom with built in robes, complemented by 1 vogue bathroom and Euro laundry 
Extremely rare sized courtyard outside the living room with plenty of room for entertaining
Engineered timber flooring, split system heating & cooling
Secure basement car parking and storage cage
Access to communal rooftop garden terrace, gym and a library
This inviting location is perfectly positioned 
Opposite Balwyn Cinema
Moments from boutique cafes
A short stroll from central Balwyn shops
Tram stop on your
...
show more",inspections.ire%40motionproperty.com.au,$450 per week,1,Balwyn,https://www.realestate.com.au/425348034,1300 850 730,1G06 (G06)/188 Whitehorse Road,,Apartment,Fri 11-Jan-19,,1
